NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,NAME_ENGL,NAME_FREN,ISO3_CODE,SVRG_UN,CAPT,EU_STAT,EFTA_STAT,CC_STAT,NAME_GERM,geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status,is_eu,sample_group,log_gdp_pc_index,gdp_map_class
DE11,2,DE,Stuttgart,Stuttgart,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE11,NUTS 2,2023,PPS_HAB_EU27_2020,156,p,,True,EU27,5.049856007249537,150+
DE12,2,DE,Karlsruhe,Karlsruhe,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE12,NUTS 2,2023,PPS_HAB_EU27_2020,126,p,,True,EU27,4.836281906951478,125-149
DE13,2,DE,Freiburg,Freiburg,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE13,NUTS 2,2023,PPS_HAB_EU27_2020,107,p,,True,EU27,4.672828834461906,100-124
DE14,2,DE,Tübingen,Tübingen,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE14,NUTS 2,2023,PPS_HAB_EU27_2020,124,p,,True,EU27,4.820281565605037,100-124
DE21,2,DE,Oberbayern,Oberbayern,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE21,NUTS 2,2023,PPS_HAB_EU27_2020,174,p,,True,EU27,5.159055299214529,150+
DE22,2,DE,Niederbayern,Niederbayern,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE22,NUTS 2,2023,PPS_HAB_EU27_2020,116,p,,True,EU27,4.7535901911063645,100-124
DE23,2,DE,Oberpfalz,Oberpfalz,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE23,NUTS 2,2023,PPS_HAB_EU27_2020,126,p,,True,EU27,4.836281906951478,125-149
DE24,2,DE,Oberfranken,Oberfranken,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE24,NUTS 2,2023,PPS_HAB_EU27_2020,111,p,,True,EU27,4.709530201312334,100-124
DE25,2,DE,Mittelfranken,Mittelfranken,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE25,NUTS 2,2023,PPS_HAB_EU27_2020,129,p,,True,EU27,4.859812404361672,125-149
DE26,2,DE,Unterfranken,Unterfranken,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE26,NUTS 2,2023,PPS_HAB_EU27_2020,118,p,,True,EU27,4.770684624465665,100-124
