geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status
AT33,NUTS 2,2023,PPS_HAB_EU27_2020,128,,
AT34,NUTS 2,2023,PPS_HAB_EU27_2020,126,,
BE10,NUTS 2,2023,PPS_HAB_EU27_2020,190,,
BE21,NUTS 2,2023,PPS_HAB_EU27_2020,140,,
BE22,NUTS 2,2023,PPS_HAB_EU27_2020,96,,
BE23,NUTS 2,2023,PPS_HAB_EU27_2020,111,,
BE24,NUTS 2,2023,PPS_HAB_EU27_2020,129,,
BE25,NUTS 2,2023,PPS_HAB_EU27_2020,119,,
BE31,NUTS 2,2023,PPS_HAB_EU27_2020,158,,
BE32,NUTS 2,2023,PPS_HAB_EU27_2020,72,,
BE33,NUTS 2,2023,PPS_HAB_EU27_2020,87,,
BE34,NUTS 2,2023,PPS_HAB_EU27_2020,73,,
BE35,NUTS 2,2023,PPS_HAB_EU27_2020,80,,
BG31,NUTS 2,2023,PPS_HAB_EU27_2020,42,,
BG32,NUTS 2,2023,PPS_HAB_EU27_2020,43,,
BG33,NUTS 2,2023,PPS_HAB_EU27_2020,50,,
BG34,NUTS 2,2023,PPS_HAB_EU27_2020,54,,
BG41,NUTS 2,2023,PPS_HAB_EU27_2020,101,,
BG42,NUTS 2,2023,PPS_HAB_EU27_2020,41,,
CY00,NUTS 2,2023,PPS_HAB_EU27_2020,97,,
CZ01,NUTS 2,2023,PPS_HAB_EU27_2020,197,,
CZ02,NUTS 2,2023,PPS_HAB_EU27_2020,82,,
CZ03,NUTS 2,2023,PPS_HAB_EU27_2020,77,,
CZ04,NUTS 2,2023,PPS_HAB_EU27_2020,62,,
CZ05,NUTS 2,2023,PPS_HAB_EU27_2020,74,,
CZ06,NUTS 2,2023,PPS_HAB_EU27_2020,85,,
CZ07,NUTS 2,2023,PPS_HAB_EU27_2020,74,,
CZ08,NUTS 2,2023,PPS_HAB_EU27_2020,70,,
DE11,NUTS 2,2023,PPS_HAB_EU27_2020,156,p,
DE12,NUTS 2,2023,PPS_HAB_EU27_2020,126,p,
DE13,NUTS 2,2023,PPS_HAB_EU27_2020,107,p,
DE14,NUTS 2,2023,PPS_HAB_EU27_2020,124,p,
DE21,NUTS 2,2023,PPS_HAB_EU27_2020,174,p,
DE22,NUTS 2,2023,PPS_HAB_EU27_2020,116,p,
DE23,NUTS 2,2023,PPS_HAB_EU27_2020,126,p,
DE24,NUTS 2,2023,PPS_HAB_EU27_2020,111,p,
DE25,NUTS 2,2023,PPS_HAB_EU27_2020,129,p,
DE26,NUTS 2,2023,PPS_HAB_EU27_2020,118,p,
DE27,NUTS 2,2023,PPS_HAB_EU27_2020,112,p,
DE30,NUTS 2,2023,PPS_HAB_EU27_2020,127,p,
DE40,NUTS 2,2023,PPS_HAB_EU27_2020,87,p,
DE50,NUTS 2,2023,PPS_HAB_EU27_2020,135,p,
DE60,NUTS 2,2023,PPS_HAB_EU27_2020,195,p,
DE71,NUTS 2,2023,PPS_HAB_EU27_2020,149,p,
DE72,NUTS 2,2023,PPS_HAB_EU27_2020,101,p,
DE73,NUTS 2,2023,PPS_HAB_EU27_2020,109,p,
DE80,NUTS 2,2023,PPS_HAB_EU27_2020,87,p,
DE91,NUTS 2,2023,PPS_HAB_EU27_2020,130,p,
DE92,NUTS 2,2023,PPS_HAB_EU27_2020,112,p,
DE93,NUTS 2,2023,PPS_HAB_EU27_2020,85,p,
DE94,NUTS 2,2023,PPS_HAB_EU27_2020,106,p,
DEA1,NUTS 2,2023,PPS_HAB_EU27_2020,118,p,
DEA2,NUTS 2,2023,PPS_HAB_EU27_2020,120,p,
DEA3,NUTS 2,2023,PPS_HAB_EU27_2020,97,p,
DEA4,NUTS 2,2023,PPS_HAB_EU27_2020,108,p,
DEA5,NUTS 2,2023,PPS_HAB_EU27_2020,100,p,
DEB1,NUTS 2,2023,PPS_HAB_EU27_2020,97,p,
DEB2,NUTS 2,2023,PPS_HAB_EU27_2020,90,p,
DEB3,NUTS 2,2023,PPS_HAB_EU27_2020,110,p,
DEC0,NUTS 2,2023,PPS_HAB_EU27_2020,97,p,
DED2,NUTS 2,2023,PPS_HAB_EU27_2020,93,p,
DED4,NUTS 2,2023,PPS_HAB_EU27_2020,82,p,
DED5,NUTS 2,2023,PPS_HAB_EU27_2020,98,p,
DEE0,NUTS 2,2023,PPS_HAB_EU27_2020,85,p,
DEF0,NUTS 2,2023,PPS_HAB_EU27_2020,96,p,
DEG0,NUTS 2,2023,PPS_HAB_EU27_2020,84,p,
