NUTS_ID,CNTR_CODE,NAME_LATN,NAME_ENGL,EU_STAT,CC_STAT,is_eu,sample_group,TIME_PERIOD,unit,gdp_pc_index,log_gdp_pc_index,obs_flag,conf_status,gdp_map_class,queen_degree,is_queen_island,z_log_gdp,spatial_lag,local_moran_i,local_perm_mean,local_p_two_sided,local_q_bh,local_p_holm,lisa_quadrant,lisa_fdr_cluster,lisa_holm_cluster
DE22,DE,Niederbayern,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,116,4.7535901911063645,p,,100-124,4,False,0.7995649235332827,0.8847614407570228,0.7074242137240859,-0.00435502077116565,0.07305,0.23579430379746838,1.0,High-High,Not significant,Not significant
DE23,DE,Oberpfalz,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,126,4.836281906951478,p,,125-149,6,False,1.0053104349859783,0.5637701979928602,0.5667640629763334,-0.005826511548837836,0.16024,0.3714654545454545,1.0,High-High,Not significant,Not significant
DE24,DE,Oberfranken,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,111,4.709530201312334,p,,100-124,6,False,0.6899391279849968,0.3475214742510727,0.2397686629008456,-0.003097344526326033,0.38305,0.6475986754966887,1.0,High-High,Not significant,Not significant
DE25,DE,Mittelfranken,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,129,4.859812404361672,p,,125-149,6,False,1.0638567376587238,1.0991183351021605,1.1693044462826725,-0.006502905789321915,0.00602,0.0597051724137931,1.0,High-High,Not significant,Not significant
DE26,DE,Unterfranken,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,118,4.770684624465665,p,,100-124,7,False,0.84209763552938,0.9084941357401807,0.7650407635991138,-0.004516334781857543,0.01379,0.09522236842105262,1.0,High-High,Not significant,Not significant
DE27,DE,Schwaben,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,112,4.718498871295094,p,,100-124,6,False,0.7122541032372909,1.2373782980647625,0.8813277700534027,-0.0031311008657848804,0.00185,0.029484375,0.444,High-High,High-High,Not significant
DE30,DE,Berlin,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,127,4.844187086458591,p,,125-149,1,False,1.0249793363286812,0.08378227798716627,0.08587510368739076,-0.005561156320618713,0.91046,0.9673637500000001,1.0,High-High,Not significant,Not significant
DE40,DE,Brandenburg,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,87,4.465908118654584,p,,75-99,8,False,0.08378227798716627,0.03392950399344354,0.002842691135545355,-0.00014848409644348473,0.9191,0.9709308641975308,1.0,High-High,Not significant,Not significant
DE50,DE,Bremen,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,135,4.90527477843843,p,,125-149,3,False,1.1769718098359208,0.43781020474758214,0.5152902690463967,-0.008628334757655152,0.43602,0.694906875,1.0,High-High,Not significant,Not significant
DE60,DE,Hamburg,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,195,5.272999558563747,p,,150+,2,False,2.0919089614899606,0.1773140663261872,0.37092488434597626,-0.022492367222577917,0.78944,0.9067891891891892,1.0,High-High,Not significant,Not significant
