STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE7,2023,133,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE71,2023,149,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE72,2023,101,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE73,2023,109,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE8,2023,87,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE80,2023,87,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE9,2023,108,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE91,2023,130,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE92,2023,112,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE93,2023,85,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE94,2023,106,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEA,2023,110,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEA1,2023,118,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEA2,2023,120,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEA3,2023,97,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEA4,2023,108,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEA5,2023,100,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEB,2023,103,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEB1,2023,97,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEB2,2023,90,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEB3,2023,110,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEC,2023,97,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEC0,2023,97,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DED,2023,91,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DED2,2023,93,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DED4,2023,82,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DED5,2023,98,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEE,2023,85,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEE0,2023,85,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEF,2023,96,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEF0,2023,96,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEG,2023,84,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DEG0,2023,84,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DK,2023,126,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DK0,2023,125,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DK01,2023,170,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DK02,2023,89,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DK03,2023,109,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DK04,2023,109,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DK05,2023,100,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,EE,2023,80,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,EE0,2023,80,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,EE00,2023,80,,
